model,id,MC1,MN1,MN2,point_id,run_key,runtime_s,returncode,xsec_pb,xsec_err_pb,order,xsec_NNLO_NNLL_pb,xsec_NNLO_NNLL_err_pb,status,log
higgsino_N2C1plus_13p6,mc1_125_mn1_110_mn2_140,125,110,140,mc1_125_mn1_110_mn2_140,higgsino_N2C1plus_13p6::mc1_125_mn1_110_mn2_140,21.18,0,1.3864692,0.0010385812,NNLO+NNLL,1.3864692,0.0010385812,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_110_mn2_140/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_105_mn2_145,125,105,145,mc1_125_mn1_105_mn2_145,higgsino_N2C1plus_13p6::mc1_125_mn1_105_mn2_145,21.3,0,1.2956223,0.0009612268,NNLO+NNLL,1.2956223,0.0009612268,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_105_mn2_145/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_100_mn2_150,125,100,150,mc1_125_mn1_100_mn2_150,higgsino_N2C1plus_13p6::mc1_125_mn1_100_mn2_150,21.45,0,1.2116008,0.00089426551,NNLO+NNLL,1.2116008,0.00089426551,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_100_mn2_150/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_95_mn2_155,125,95,155,mc1_125_mn1_95_mn2_155,higgsino_N2C1plus_13p6::mc1_125_mn1_95_mn2_155,20.87,0,1.1339248,0.00083857419,NNLO+NNLL,1.1339248,0.00083857419,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_95_mn2_155/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_90_mn2_160,125,90,160,mc1_125_mn1_90_mn2_160,higgsino_N2C1plus_13p6::mc1_125_mn1_90_mn2_160,20.94,0,1.0620265,0.00078058835,NNLO+NNLL,1.0620265,0.00078058835,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_90_mn2_160/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_85_mn2_165,125,85,165,mc1_125_mn1_85_mn2_165,higgsino_N2C1plus_13p6::mc1_125_mn1_85_mn2_165,21.07,0,0.99551184,0.0007265011,NNLO+NNLL,0.99551184,0.0007265011,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_85_mn2_165/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_80_mn2_170,125,80,170,mc1_125_mn1_80_mn2_170,higgsino_N2C1plus_13p6::mc1_125_mn1_80_mn2_170,21.01,0,0.93390334,0.00067925419,NNLO+NNLL,0.93390334,0.00067925419,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_80_mn2_170/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_75_mn2_175,125,75,175,mc1_125_mn1_75_mn2_175,higgsino_N2C1plus_13p6::mc1_125_mn1_75_mn2_175,21.27,0,0.87660454,0.000638406,NNLO+NNLL,0.87660454,0.000638406,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_75_mn2_175/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_65_mn2_185,125,65,185,mc1_125_mn1_65_mn2_185,higgsino_N2C1plus_13p6::mc1_125_mn1_65_mn2_185,20.99,0,0.77439497,0.00055602716,NNLO+NNLL,0.77439497,0.00055602716,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_65_mn2_185/resummino.log
higgsino_N2C1plus_13p6,mc1_125_mn1_55_mn2_195,125,55,195,mc1_125_mn1_55_mn2_195,higgsino_N2C1plus_13p6::mc1_125_mn1_55_mn2_195,21.09,0,0.68602484,0.00048931261,NNLO+NNLL,0.68602484,0.00048931261,ok,runs/higgsino_N2C1plus_13p6/mc1_125_mn1_55_mn2_195/resummino.log
